ID Consumidor	Gênero	Estado civil	Pets	Bairro
3	F	Casado(a)	1	Mesquita
8	F	Casado(a)	2	Belford Roxo
9	F	Casado(a)	5	Belford Roxo
20	F	Solteiro(a)	2	Nova Iguaçu
24	F	Solteiro(a)	1	Belford Roxo
26	F	Solteiro(a)	1	Belford Roxo
28	F	Solteiro(a)	1	Mesquita
30	F	Solteiro(a)	4	Nova Iguaçu
32	F	Solteiro(a)	2	Belford Roxo
36	F	Solteiro(a)	1	Nova Iguaçu
39	F	Casado(a)	4	Mesquita
41	F	Solteiro(a)	1	Nova Iguaçu
42	F	Casado(a)	3	Belford Roxo
43	F	Solteiro(a)	2	Mesquita
44	F	Solteiro(a)	1	Belford Roxo
45	F	Solteiro(a)	5	Mesquita
47	F	Casado(a)	1	Mesquita
48	F	Casado(a)	1	Mesquita
49	F	Solteiro(a)	4	Mesquita
52	F	Solteiro(a)	3	Belford Roxo
55	F	Casado(a)	3	Nova Iguaçu
57	F	Solteiro(a)	3	Belford Roxo
59	F	Casado(a)	5	Belford Roxo
60	F	Solteiro(a)	3	Belford Roxo
62	F	Casado(a)	1	Mesquita
64	F	Solteiro(a)	4	Nova Iguaçu
71	F	Solteiro(a)	5	Mesquita
75	F	Solteiro(a)	3	Mesquita
76	F	Solteiro(a)	1	Nova Iguaçu
77	F	Solteiro(a)	2	Belford Roxo
79	F	Solteiro(a)	2	Mesquita
80	F	Solteiro(a)	1	Nova Iguaçu
81	F	Solteiro(a)	2	Nova Iguaçu
87	F	Solteiro(a)	4	Belford Roxo
91	F	Casado(a)	1	Mesquita
93	F	Casado(a)	5	Mesquita
96	F	Solteiro(a)	1	Nova Iguaçu
99	F	Solteiro(a)	3	Nova Iguaçu
102	F	Casado(a)	2	Mesquita
104	F	Casado(a)	1	Nova Iguaçu
105	F	Casado(a)	3	Nova Iguaçu
109	F	Solteiro(a)	2	Belford Roxo
110	F	Solteiro(a)	3	Belford Roxo
112	F	Casado(a)	4	Belford Roxo
114	F	Solteiro(a)	3	Mesquita
115	F	Solteiro(a)	3	Mesquita
117	F	Casado(a)	3	Mesquita
118	F	Solteiro(a)	2	Nova Iguaçu
119	F	Solteiro(a)	4	Belford Roxo
121	F	Solteiro(a)	5	Belford Roxo
125	F	Casado(a)	2	Mesquita
126	F	Solteiro(a)	2	Mesquita
127	F	Solteiro(a)	1	Mesquita
128	F	Solteiro(a)	1	Mesquita
131	F	Solteiro(a)	3	Nova Iguaçu
133	F	Casado(a)	1	Belford Roxo
135	F	Casado(a)	5	Mesquita
136	F	Casado(a)	3	Mesquita
137	F	Casado(a)	3	Belford Roxo
139	F	Casado(a)	1	Nova Iguaçu
140	F	Casado(a)	2	Nova Iguaçu
141	F	Casado(a)	4	Belford Roxo
144	F	Solteiro(a)	3	Belford Roxo
148	F	Solteiro(a)	2	Mesquita
154	F	Solteiro(a)	1	Mesquita
155	F	Casado(a)	1	Belford Roxo
156	F	Solteiro(a)	1	Mesquita
158	F	Casado(a)	3	Mesquita
159	F	Casado(a)	4	Nova Iguaçu
160	F	Casado(a)	1	Mesquita
161	F	Casado(a)	1	Nova Iguaçu
162	F	Casado(a)	3	Belford Roxo
164	F	Solteiro(a)	4	Nova Iguaçu
165	F	Solteiro(a)	2	Nova Iguaçu
